voice, display name, preview
en-us-ava:DragonHDLatestNeural, Ava (HD),true
en-us-steffan:DragonHDLatestNeural, Steffan (HD),true
en-us-andrew:DragonHDLatestNeural, Andrew (HD),true
zh-cn-xiaochen:DragonHDLatestNeural, Xiaochen (HD),true
en-us-emma:DragonHDLatestNeural, Emma (HD),true
en-us-emma2:DragonHDLatestNeural, Emma (HD 2),true
en-us-andrew2:DragonHDLatestNeural, Andrew (HD 2),true
de-DE-Seraphina:DragonHDLatestNeural, Seraphina (HD),true
en-us-aria:DragonHDLatestNeural, Aria (HD),true
en-us-davis:DragonHDLatestNeural, Davis (HD),true
en-us-jenny:DragonHDLatestNeural, Jenny (HD),true
ja-jp-masaru:DragonHDLatestNeural, Masaru (HD),true
en-US-AvaMultilingualNeural, Ava Multilingual,
en-US-AlloyTurboMultilingualNeural, Alloy Turbo Multilingual,true
en-US-AndrewMultilingualNeural, Andrew Multilingual,
en-US-BrianMultilingualNeural, Brian Multilingual,
en-US-EmmaMultilingualNeural, Emma Multilingual,
en-US-NovaTurboMultilingualNeural, Nova Turbo Multilingual,true
zh-CN-XiaoxiaoMultilingualNeural, Xiaoxiao Multilingual,
